College Name,College City,State,Approvals,Rating,Major Stream Rating,Logo,Cover,Fees,Ranking Data,Default Ranking Data,Exam,Facilities,Fee Range,Type Of College,Program Type,Duration
National Institute of Fashion Technology - [NIFT],New Delhi,Delhi NCR,[],7.31904761904762,2.499480206043956,https://images.collegedunia.com/public/college_data/images/logos/1412068623h_logo.gif,https://images.collegedunia.com/public/college_data/images/appImage/27897_NIFT_New.jpg,270900,[],[],nift,"['Sports', 'Medical', 'Cafeteria', 'Laboratory', 'Library', 'Auditorium']",4,Government,Full Time,4
National Institute of Fashion Technology - [NIFT],Navi Mumbai,Maharashtra,[],7.276643990929706,2.490413557975335,https://images.collegedunia.com/public/college_data/images/logos/col6914.jpg,https://images.collegedunia.com/public/college_data/images/appImage/6914_NIFTMUMBAI_APP.jpg,297100,[],[],nift,"['Comp Labs', 'Sports', 'Medical', 'Library', 'Auditorium', 'Hostel', 'Cafeteria', 'Laboratory', 'Gym']",4,Government,Full Time,4
Woxsen University,Hyderabad,Telangana,"['COA', 'AICTE', 'NBA', 'AACSB', 'AMBA']",7.235611704999461,2.4814992908846416,https://images.collegedunia.com/public/college_data/images/logos/1628340461logonew1.png,https://images.collegedunia.com/public/college_data/images/appImage/1628340683slide33.jpg,410000,[],[],,"['Library', 'Classrooms', 'Sports', 'Hostel', 'Medical', 'Laboratory', 'Transport', 'Cafeteria', 'Wi-FI Campus']",4,Government,Part Time,4
National Institute of Fashion Technology - [NIFT],Bangalore,Karnataka,['AICTE'],7.23561170499946,2.484907943756736,https://images.collegedunia.com/public/college_data/images/logos/1486103151Logo.jpg,https://images.collegedunia.com/public/college_data/images/appImage/1486103151NIFTBangalore.jpg,167250,[],[],,"['Classrooms', 'Gym', 'Auditorium', 'Laboratory', 'Cafeteria', 'Sports', 'Hostel', 'Medical']",3,Government,Full Time,4
Parul University,Vadodara,Gujarat,"['COA', 'PCI', 'INC', 'GNC', 'MCI']",7.194579419069215,2.475986114009149,https://images.collegedunia.com/public/college_data/images/logos/1619719076logo7.png,https://images.collegedunia.com/public/college_data/images/appImage/1599193361PuCampus.jpg,225000,[],"[{'year': '2021', 'agencyId': '17', 'rankingOfCollege': '44', 'rankingOutOfTotalNoOfCollege': '146', 'agency': 'Indiatoday'}, {'year': '2021', 'agencyId': '28', 'rankingOfCollege': '40', 'rankingOutOfTotalNoOfCollege': '110', 'agency': 'Outlook'}, {'year': '2021', 'agencyId': '14', 'rankingOfCollege': '62', 'rankingOutOfTotalNoOfCollege': '101', 'agency': 'TOI'}, {'year': '2020', 'agencyId': '38', 'rankingOfCollege': '26', 'rankingOutOfTotalNoOfCollege': '50', 'agency': 'ARIIA'}]",,"['Library', 'Transport', 'Wi-FI Campus', 'Banks', 'Laboratory', 'Classrooms', 'Medical', 'Security', 'Swimming Pool', 'Hostel', 'Sports', 'Comp Labs', 'Gym']",4,Government,Part Time,4
National Institute of Fashion Technology - [NIFT],Chennai,Tamil Nadu,['AICTE'],7.194579419069215,2.4721996114185023,https://images.collegedunia.com/public/college_data/images/logos/col6921.jpg,https://images.collegedunia.com/public/college_data/images/appImage/6921_NIFTCHENNAI_APP.jpg,297100,[],[],nift,"['Comp Labs', 'Sports', 'Medical', 'Library', 'Auditorium', 'Hostel', 'Cafeteria', 'Laboratory', 'Gym']",4,Government,Full Time,4
National Institute of Fashion Technology - [NIFT],Hyderabad,Telangana,['AICTE'],7.155819860411697,2.463425160335286,https://images.collegedunia.com/public/college_data/images/logos/col6919.jpg,https://images.collegedunia.com/public/college_data/images/appImage/6919_NIFT_New.jpg,297100,[],[],nift,"['Comp Labs', 'Sports', 'Medical', 'Library', 'Auditorium', 'Hostel', 'Cafeteria', 'Laboratory', 'Gym']",4,Government,Full Time,4
National Institute of Fashion Technology - [NIFT],Patna,Bihar,[],7.122997584511963,2.454954590500582,https://images.collegedunia.com/public/college_data/images/logos/col6911.jpg,https://images.collegedunia.com/public/college_data/images/appImage/1486386422AppNew.jpg,167250,[],[],nift,"['Comp Labs', 'Sports', 'Medical', 'Library', 'Auditorium', 'Hostel', 'Cafeteria']",3,Government,Full Time,4
National Institute of Fashion Technology - [NIFT],Gandhinagar,Gujarat,[],7.09397480234178,2.4468020555974235,https://images.collegedunia.com/public/college_data/images/logos/col6915.jpg,https://images.collegedunia.com/public/college_data/images/appImage/6915_NIFT_New.jpg,167250,[],[],nift,"['Comp Labs', 'Sports', 'Medical', 'Library', 'Auditorium', 'Hostel', 'Cafeteria', 'Laboratory', 'Gym']",3,Government,Full Time,4
National Institute of Fashion Technology - [NIFT],Kolkata,West Bengal,['AICTE'],7.064292411485912,2.43863832215731,https://images.collegedunia.com/public/college_data/images/logos/1438167078National Institute of Fashion Technology - [NIFT].jpg,https://images.collegedunia.com/public/college_data/images/appImage/6916_NIFT_New.jpg,167250,[],[],nift,"['Comp Labs', 'Sports', 'Medical', 'Library', 'Auditorium', 'Hostel', 'Cafeteria', 'Laboratory', 'Gym', 'Classrooms']",3,Government,Full Time,4
JG University,Ahmedabad,Gujarat,['UGC'],7.033935420837865,2.430463374797636,https://images.collegedunia.com/public/college_data/images/logos/1656930124index.jpg,https://images.collegedunia.com/public/college_data/images/appImage/1656930124index.jpggvvgg.jpg,0,[],[],,"['Wi-FI Campus', 'Library', 'Cafeteria', 'Gym', 'Auditorium', 'Sports']",0,Government,Full Time,4
Pearl Academy West Campus,New Delhi,Delhi NCR,[],7.033935420837865,2.433801923389391,https://images.collegedunia.com/public/college_data/images/logos/1606650696Logo.jpg,https://images.collegedunia.com/public/college_data/images/appImage/1606650696Cover.jpg,724490,[],[],,"['Medical', 'Sports', 'Comp Labs', 'Laboratory', 'Library', 'Auditorium', 'Cafeteria', 'Classrooms', 'Wi-FI Campus', 'Hostel']",4,Private,Full Time,4
