College Name,College City,State,Approvals,Rating,Major Stream Rating,Logo,Cover,Fees,Ranking Data,Default Ranking Data,Exam,Facilities,Fee Range,Type Of College,Program Type,Duration
St Stephen's College,New Delhi,Delhi NCR,['UGC'],8.015540540540538,1.5602906987276255,https://images.collegedunia.com/public/college_data/images/logos/14919074881412841375Logo.jpg,https://images.collegedunia.com/public/college_data/images/appImage/14919074884953SSCNew.jpg,42835,"[{'year': '2022', 'agencyId': '17', 'rankingOfCollege': '3', 'rankingOutOfTotalNoOfCollege': '186', 'agency': 'Indiatoday'}, {'year': '2022', 'agencyId': '28', 'rankingOfCollege': '4', 'rankingOutOfTotalNoOfCollege': '105', 'agency': 'Outlook'}, {'year': '2022', 'agencyId': '33', 'rankingOfCollege': '1', 'rankingOutOfTotalNoOfCollege': '56', 'agency': 'The Week'}]","[{'year': '2022', 'agencyId': '13', 'rankingOfCollege': '11', 'rankingOutOfTotalNoOfCollege': '200', 'agency': 'NIRF'}]",cuet,"['Comp Labs', 'Sports', 'Medical', 'Cafeteria', 'Library', 'Auditorium', 'Hostel', 'Laboratory', 'Classrooms']",1,Government,Full Time,3
Hindu College,New Delhi,Delhi NCR,[],8.005510409057706,1.5585870736896112,https://images.collegedunia.com/public/college_data/images/logos/col1904.jpg,https://images.collegedunia.com/public/college_data/images/appImage/1492065245cover..png,20460,"[{'year': '2022', 'agencyId': '17', 'rankingOfCollege': '1', 'rankingOutOfTotalNoOfCollege': '186', 'agency': 'Indiatoday'}, {'year': '2022', 'agencyId': '28', 'rankingOfCollege': '2', 'rankingOutOfTotalNoOfCollege': '105', 'agency': 'Outlook'}, {'year': '2022', 'agencyId': '33', 'rankingOfCollege': '3', 'rankingOutOfTotalNoOfCollege': '56', 'agency': 'The Week'}]","[{'year': '2022', 'agencyId': '13', 'rankingOfCollege': '2', 'rankingOutOfTotalNoOfCollege': '200', 'agency': 'NIRF'}]",cuet,"['Comp Labs', 'Sports', 'Medical', 'Cafeteria', 'Library', 'Hostel', 'Auditorium', 'Classrooms', 'Security']",0,Government,Full Time,3
Parul University,Vadodara,Gujarat,"['COA', 'PCI', 'INC', 'GNC', 'MCI']",7.996763857767554,1.5570668207402236,https://images.collegedunia.com/public/college_data/images/logos/1619719076logo7.png,https://images.collegedunia.com/public/college_data/images/appImage/1599193361PuCampus.jpg,72000,"[{'year': '2022', 'agencyId': '28', 'rankingOfCollege': '48', 'rankingOutOfTotalNoOfCollege': '105', 'agency': 'Outlook'}]","[{'year': '2021', 'agencyId': '17', 'rankingOfCollege': '44', 'rankingOutOfTotalNoOfCollege': '146', 'agency': 'Indiatoday'}, {'year': '2021', 'agencyId': '28', 'rankingOfCollege': '40', 'rankingOutOfTotalNoOfCollege': '110', 'agency': 'Outlook'}, {'year': '2021', 'agencyId': '14', 'rankingOfCollege': '62', 'rankingOutOfTotalNoOfCollege': '101', 'agency': 'TOI'}, {'year': '2020', 'agencyId': '38', 'rankingOfCollege': '26', 'rankingOutOfTotalNoOfCollege': '50', 'agency': 'ARIIA'}]",,"['Library', 'Transport', 'Wi-FI Campus', 'Banks', 'Laboratory', 'Classrooms', 'Medical', 'Security', 'Swimming Pool', 'Hostel', 'Sports', 'Comp Labs', 'Gym']",1,Government,Part Time,3
Lady Shri Ram College for Women - [LSR],New Delhi,Delhi NCR,['UGC'],7.996763857767554,1.5562741761037646,https://images.collegedunia.com/public/college_data/images/logos/1559556886lsrlogo9.jpg,https://images.collegedunia.com/public/college_data/images/appImage/14918218951444135101LSRCNEW.jpg,20670,"[{'year': '2022', 'agencyId': '17', 'rankingOfCollege': '14', 'rankingOutOfTotalNoOfCollege': '186', 'agency': 'Indiatoday'}, {'year': '2022', 'agencyId': '28', 'rankingOfCollege': '3', 'rankingOutOfTotalNoOfCollege': '105', 'agency': 'Outlook'}]","[{'year': '2022', 'agencyId': '13', 'rankingOfCollege': '5', 'rankingOutOfTotalNoOfCollege': '200', 'agency': 'NIRF'}]",cuet,"['Comp Labs', 'Sports', 'Medical', 'Cafeteria', 'Library', 'Auditorium', 'Hostel', 'Laboratory', 'Classrooms', 'Banks']",0,Government,Full Time,3
Woxsen University,Hyderabad,Telangana,"['COA', 'AICTE', 'NBA', 'AACSB', 'AMBA']",7.988688447417002,1.5545237284384863,https://images.collegedunia.com/public/college_data/images/logos/1628340461logonew1.png,https://images.collegedunia.com/public/college_data/images/appImage/1628340683slide33.jpg,270000,[],[],,"['Library', 'Classrooms', 'Sports', 'Hostel', 'Medical', 'Laboratory', 'Transport', 'Cafeteria', 'Wi-FI Campus']",4,Government,Part Time,3
Miranda House,New Delhi,Delhi NCR,[],7.988688447417001,1.554858971856308,https://images.collegedunia.com/public/college_data/images/logos/col3004.jpg,https://images.collegedunia.com/public/college_data/images/appImage/3004_MHC.jpg,19800,"[{'year': '2022', 'agencyId': '17', 'rankingOfCollege': '2', 'rankingOutOfTotalNoOfCollege': '186', 'agency': 'Indiatoday'}, {'year': '2022', 'agencyId': '28', 'rankingOfCollege': '1', 'rankingOutOfTotalNoOfCollege': '105', 'agency': 'Outlook'}, {'year': '2022', 'agencyId': '33', 'rankingOfCollege': '2', 'rankingOutOfTotalNoOfCollege': '56', 'agency': 'The Week'}]","[{'year': '2022', 'agencyId': '13', 'rankingOfCollege': '1', 'rankingOutOfTotalNoOfCollege': '200', 'agency': 'NIRF'}]",cuet,"['Sports', 'Cafeteria', 'Medical', 'Library', 'Auditorium', 'Hostel', 'Transport', 'Comp Labs', 'Laboratory', 'Communication Centre', 'Classrooms']",0,Government,Full Time,3
Loyola College,Chennai,Tamil Nadu,['UGC'],7.981279703733115,1.5532430475457315,https://images.collegedunia.com/public/college_data/images/logos/1453696337logoooo.jpg,https://images.collegedunia.com/public/college_data/images/appImage/2595_LOYOLAC.jpg,48940,"[{'year': '2022', 'agencyId': '17', 'rankingOfCollege': '6', 'rankingOutOfTotalNoOfCollege': '186', 'agency': 'Indiatoday'}, {'year': '2022', 'agencyId': '28', 'rankingOfCollege': '5', 'rankingOutOfTotalNoOfCollege': '105', 'agency': 'Outlook'}, {'year': '2022', 'agencyId': '33', 'rankingOfCollege': '4', 'rankingOutOfTotalNoOfCollege': '56', 'agency': 'The Week'}]","[{'year': '2022', 'agencyId': '13', 'rankingOfCollege': '4', 'rankingOutOfTotalNoOfCollege': '200', 'agency': 'NIRF'}, {'year': '2021', 'agencyId': '17', 'rankingOfCollege': '3', 'rankingOutOfTotalNoOfCollege': '146', 'agency': 'Indiatoday'}, {'year': '2021', 'agencyId': '28', 'rankingOfCollege': '2', 'rankingOutOfTotalNoOfCollege': '125', 'agency': 'Outlook'}]",,"['Sports', 'Medical', 'Library', 'Auditorium', 'Hostel', 'Laboratory', 'Comp Labs', 'Cafeteria', 'Security', 'Classrooms']",1,Government,Full Time,3
Madras Christian College - [MCC],Chennai,Tamil Nadu,['UGC'],7.973821568424669,1.551609069337309,https://images.collegedunia.com/public/college_data/images/logos/1393668198Madras Christian College.png,https://images.collegedunia.com/public/college_data/images/appImage/2708_MCC.jpg,0,"[{'year': '2022', 'agencyId': '17', 'rankingOfCollege': '4', 'rankingOutOfTotalNoOfCollege': '186', 'agency': 'Indiatoday'}, {'year': '2022', 'agencyId': '28', 'rankingOfCollege': '10', 'rankingOutOfTotalNoOfCollege': '105', 'agency': 'Outlook'}, {'year': '2022', 'agencyId': '33', 'rankingOfCollege': '6', 'rankingOutOfTotalNoOfCollege': '56', 'agency': 'The Week'}]","[{'year': '2022', 'agencyId': '13', 'rankingOfCollege': '17', 'rankingOutOfTotalNoOfCollege': '200', 'agency': 'NIRF'}, {'year': '2021', 'agencyId': '17', 'rankingOfCollege': '9', 'rankingOutOfTotalNoOfCollege': '146', 'agency': 'Indiatoday'}, {'year': '2021', 'agencyId': '28', 'rankingOfCollege': '6', 'rankingOutOfTotalNoOfCollege': '125', 'agency': 'Outlook'}]",,"['Sports', 'Auditorium', 'Medical', 'Comp Labs', 'Hostel', 'Library', 'Laboratory', 'Gym']",0,Private,Full Time,3
Hansraj College - [HRC],New Delhi,Delhi NCR,['UGC'],7.966313712214165,1.5500593839953505,https://images.collegedunia.com/public/college_data/images/logos/1491982583logo..png,https://images.collegedunia.com/public/college_data/images/appImage/1521444819cvrimge.png,24515,"[{'year': '2022', 'agencyId': '17', 'rankingOfCollege': '5', 'rankingOutOfTotalNoOfCollege': '186', 'agency': 'Indiatoday'}, {'year': '2022', 'agencyId': '28', 'rankingOfCollege': '6', 'rankingOutOfTotalNoOfCollege': '105', 'agency': 'Outlook'}, {'year': '2022', 'agencyId': '33', 'rankingOfCollege': '5', 'rankingOutOfTotalNoOfCollege': '56', 'agency': 'The Week'}]","[{'year': '2022', 'agencyId': '13', 'rankingOfCollege': '14', 'rankingOutOfTotalNoOfCollege': '200', 'agency': 'NIRF'}]",cuet,"['Comp Labs', 'Sports', 'Medical', 'Cafeteria', 'Laboratory', 'Library', 'Auditorium', 'Hostel', 'Classrooms', 'Communication Centre', 'Security']",0,Government,Full Time,3
Presidency College,Chennai,Tamil Nadu,['AICTE'],7.959422470295594,1.5484484414428368,https://images.collegedunia.com/public/college_data/images/logos/1415341122loojo.png,https://images.collegedunia.com/public/college_data/images/appImage/3479_PRESIDENCY.jpg,1270,[],"[{'year': '2022', 'agencyId': '13', 'rankingOfCollege': '3', 'rankingOutOfTotalNoOfCollege': '200', 'agency': 'NIRF'}]",,"['Medical', 'Cafeteria', 'Library', 'Auditorium', 'Comp Labs', 'Sports', 'Classrooms']",0,Government,Full Time,3
