College Name,College City,State,Approvals,Rating,Major Stream Rating,Logo,Cover,Fees,Ranking Data,Default Ranking Data,Exam,Facilities,Fee Range,Type Of College,Program Type,Duration
IIT Kharagpur - Indian Institute of Technology - [IITKGP],Kharagpur,West Bengal,"['AICTE', 'UGC']",7.23733333333333,2.51091159183674,https://images.collegedunia.com/public/college_data/images/logos/1489041138e2.jpg,https://images.collegedunia.com/public/college_data/images/appImage/1488973535e1.jpg,123900,"[{'year': '2022', 'agencyId': '13', 'rankingOfCollege': '6', 'rankingOutOfTotalNoOfCollege': '30', 'agency': 'NIRF'}]","[{'year': '2022', 'agencyId': '13', 'rankingOfCollege': '6', 'rankingOutOfTotalNoOfCollege': '200', 'agency': 'NIRF'}, {'year': '2019', 'agencyId': '28', 'rankingOfCollege': '5', 'rankingOutOfTotalNoOfCollege': '100', 'agency': 'Outlook'}, {'year': '2019', 'agencyId': '18', 'rankingOfCollege': '6', 'rankingOutOfTotalNoOfCollege': '50', 'agency': 'Financial Express'}, {'year': '2019', 'agencyId': '10', 'rankingOfCollege': '5', 'rankingOutOfTotalNoOfCollege': '1000', 'agency': 'ARWU'}, {'year': '2020', 'agencyId': '2', 'rankingOfCollege': '401', 'rankingOutOfTotalNoOfCollege': '1000', 'agency': 'THE'}, {'year': '2023', 'agencyId': '8', 'rankingOfCollege': '270', 'rankingOutOfTotalNoOfCollege': '1400', 'agency': 'QS'}, {'year': '2021', 'agencyId': '1', 'rankingOfCollege': '733', 'rankingOutOfTotalNoOfCollege': '1467', 'agency': 'US News'}]",,"['Comp Labs', 'Sports', 'Gym', 'Medical', 'Cafeteria', 'Laboratory', 'Auditorium', 'Hostel', 'Classrooms', 'Library', 'Banks', 'Swimming Pool', 'Wi-FI Campus', 'Communication Centre', 'Transport']",3,Government,Full Time,3
The West Bengal National University of Juridical Sciences - [NUJS],Kolkata,West Bengal,"['BCI', 'UGC']",7.21516444444444,2.50331048121616,https://images.collegedunia.com/public/college_data/images/logos/14849807071438082192nujslogo.jpg,https://images.collegedunia.com/public/college_data/images/appImage/14849807071443081628WNBUNEW.jpg,243600,"[{'year': '2022', 'agencyId': '13', 'rankingOfCollege': '5', 'rankingOutOfTotalNoOfCollege': '30', 'agency': 'NIRF'}, {'year': '2022', 'agencyId': '17', 'rankingOfCollege': '2', 'rankingOutOfTotalNoOfCollege': '61', 'agency': 'Indiatoday'}, {'year': '2022', 'agencyId': '33', 'rankingOfCollege': '3', 'rankingOutOfTotalNoOfCollege': '38', 'agency': 'The Week'}]","[{'year': '2022', 'agencyId': '13', 'rankingOfCollege': '5', 'rankingOutOfTotalNoOfCollege': '30', 'agency': 'NIRF'}, {'year': '2022', 'agencyId': '17', 'rankingOfCollege': '2', 'rankingOutOfTotalNoOfCollege': '61', 'agency': 'Indiatoday'}, {'year': '2022', 'agencyId': '33', 'rankingOfCollege': '3', 'rankingOutOfTotalNoOfCollege': '38', 'agency': 'The Week'}]",clat,"['Comp Labs', 'Sports', 'Gym', 'Medical', 'Cafeteria', 'Library', 'Hostel', 'Classrooms', 'Security', 'Laboratory', 'Auditorium']",4,Government,Full Time,3
Woxsen University,Hyderabad,Telangana,"['COA', 'AICTE', 'NBA', 'AACSB', 'AMBA']",7.19536663703704,2.49701794089087,https://images.collegedunia.com/public/college_data/images/logos/1628340461logonew1.png,https://images.collegedunia.com/public/college_data/images/appImage/1628340683slide33.jpg,235000,[],[],clat,"['Library', 'Classrooms', 'Sports', 'Hostel', 'Medical', 'Laboratory', 'Transport', 'Cafeteria', 'Wi-FI Campus']",4,Government,Part Time,3
National Law University - [NLU],Jodhpur,Rajasthan,"['BCI', 'UGC', 'MHRD']",7.19536663703704,2.49956591838158,https://images.collegedunia.com/public/college_data/images/logos/1512619900NationalLawUniversityJodhpur.jpg,https://images.collegedunia.com/public/college_data/images/appImage/1512620241TFSDTFSFGDHGFVDHSDFYDSFSFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF.jpg,200000,"[{'year': '2022', 'agencyId': '13', 'rankingOfCollege': '10', 'rankingOutOfTotalNoOfCollege': '30', 'agency': 'NIRF'}, {'year': '2022', 'agencyId': '28', 'rankingOfCollege': '5', 'rankingOutOfTotalNoOfCollege': '13', 'agency': 'Outlook'}, {'year': '2022', 'agencyId': '33', 'rankingOfCollege': '6', 'rankingOutOfTotalNoOfCollege': '38', 'agency': 'The Week'}]","[{'year': '2022', 'agencyId': '13', 'rankingOfCollege': '10', 'rankingOutOfTotalNoOfCollege': '30', 'agency': 'NIRF'}, {'year': '2022', 'agencyId': '28', 'rankingOfCollege': '5', 'rankingOutOfTotalNoOfCollege': '13', 'agency': 'Outlook'}, {'year': '2022', 'agencyId': '33', 'rankingOfCollege': '6', 'rankingOutOfTotalNoOfCollege': '38', 'agency': 'The Week'}]",clat,"['Comp Labs', 'Sports', 'Gym', 'Medical', 'Library', 'Auditorium', 'Hostel', 'Wi-FI Campus', 'Classrooms', 'Security']",4,Government,Full Time,3
Parul University,Vadodara,Gujarat,"['COA', 'PCI', 'INC', 'GNC', 'MCI']",7.178200408577,2.49348384278809,https://images.collegedunia.com/public/college_data/images/logos/1619719076logo7.png,https://images.collegedunia.com/public/college_data/images/appImage/1599193361PuCampus.jpg,110000,[],"[{'year': '2021', 'agencyId': '17', 'rankingOfCollege': '44', 'rankingOutOfTotalNoOfCollege': '146', 'agency': 'Indiatoday'}, {'year': '2021', 'agencyId': '28', 'rankingOfCollege': '40', 'rankingOutOfTotalNoOfCollege': '110', 'agency': 'Outlook'}, {'year': '2021', 'agencyId': '14', 'rankingOfCollege': '62', 'rankingOutOfTotalNoOfCollege': '101', 'agency': 'TOI'}, {'year': '2020', 'agencyId': '38', 'rankingOfCollege': '26', 'rankingOutOfTotalNoOfCollege': '50', 'agency': 'ARIIA'}]",,"['Library', 'Transport', 'Wi-FI Campus', 'Banks', 'Laboratory', 'Classrooms', 'Medical', 'Security', 'Swimming Pool', 'Hostel', 'Sports', 'Comp Labs', 'Gym']",3,Government,Part Time,3
Symbiosis Law School - [SLS],Pune,Maharashtra,"['BCI', 'UGC']",7.178200408577,2.49068886711746,https://images.collegedunia.com/public/college_data/images/logos/1412081049sym.logo.png,https://images.collegedunia.com/public/college_data/images/appImage/9127_SLS_New.jpg,373450,"[{'year': '2022', 'agencyId': '13', 'rankingOfCollege': '3', 'rankingOutOfTotalNoOfCollege': '30', 'agency': 'NIRF'}, {'year': '2022', 'agencyId': '17', 'rankingOfCollege': '5', 'rankingOutOfTotalNoOfCollege': '61', 'agency': 'Indiatoday'}, {'year': '2022', 'agencyId': '28', 'rankingOfCollege': '2', 'rankingOutOfTotalNoOfCollege': '30', 'agency': 'Outlook'}, {'year': '2022', 'agencyId': '33', 'rankingOfCollege': '5', 'rankingOutOfTotalNoOfCollege': '38', 'agency': 'The Week'}]","[{'year': '2022', 'agencyId': '13', 'rankingOfCollege': '3', 'rankingOutOfTotalNoOfCollege': '30', 'agency': 'NIRF'}, {'year': '2022', 'agencyId': '17', 'rankingOfCollege': '5', 'rankingOutOfTotalNoOfCollege': '61', 'agency': 'Indiatoday'}, {'year': '2022', 'agencyId': '28', 'rankingOfCollege': '2', 'rankingOutOfTotalNoOfCollege': '30', 'agency': 'Outlook'}, {'year': '2022', 'agencyId': '33', 'rankingOfCollege': '5', 'rankingOutOfTotalNoOfCollege': '38', 'agency': 'The Week'}]",set,"['Comp Labs', 'Sports', 'Gym', 'Cafeteria', 'Library', 'Auditorium', 'Hostel', 'Medical', 'Classrooms']",4,Private,Full Time,3
Faculty of Law Jamia Millia Islamia University,New Delhi,Delhi NCR,['BCI'],7.16363158271436,2.48476099861452,https://images.collegedunia.com/public/college_data/images/logos/14927612211424435920jpeg.jpg,https://images.collegedunia.com/public/college_data/images/appImage/14927612211443511758LAWJMINEW.jpg,0,"[{'year': '2022', 'agencyId': '13', 'rankingOfCollege': '7', 'rankingOutOfTotalNoOfCollege': '30', 'agency': 'NIRF'}, {'year': '2022', 'agencyId': '17', 'rankingOfCollege': '17', 'rankingOutOfTotalNoOfCollege': '61', 'agency': 'Indiatoday'}, {'year': '2020', 'agencyId': '33', 'rankingOfCollege': '14', 'rankingOutOfTotalNoOfCollege': '37', 'agency': 'The Week'}]","[{'year': '2022', 'agencyId': '13', 'rankingOfCollege': '7', 'rankingOutOfTotalNoOfCollege': '30', 'agency': 'NIRF'}, {'year': '2022', 'agencyId': '17', 'rankingOfCollege': '17', 'rankingOutOfTotalNoOfCollege': '61', 'agency': 'Indiatoday'}, {'year': '2020', 'agencyId': '33', 'rankingOfCollege': '14', 'rankingOutOfTotalNoOfCollege': '37', 'agency': 'The Week'}]",,"['Sports', 'Medical', 'Library', 'Hostel', 'Comp Labs', 'Cafeteria', 'Laboratory', 'Auditorium', 'Classrooms']",0,Government,Full Time,3
Gujarat National Law University - [GNLU],Gandhinagar,Gujarat,['BCI'],7.14887355132104,2.47885769351107,https://images.collegedunia.com/public/college_data/images/logos/147731193510.jpg,https://images.collegedunia.com/public/college_data/images/appImage/25489_GNLU_App.jpg,186000,"[{'year': '2022', 'agencyId': '13', 'rankingOfCollege': '8', 'rankingOutOfTotalNoOfCollege': '30', 'agency': 'NIRF'}, {'year': '2022', 'agencyId': '17', 'rankingOfCollege': '4', 'rankingOutOfTotalNoOfCollege': '61', 'agency': 'Indiatoday'}, {'year': '2022', 'agencyId': '28', 'rankingOfCollege': '4', 'rankingOutOfTotalNoOfCollege': '13', 'agency': 'Outlook'}, {'year': '2022', 'agencyId': '33', 'rankingOfCollege': '4', 'rankingOutOfTotalNoOfCollege': '38', 'agency': 'The Week'}]","[{'year': '2022', 'agencyId': '13', 'rankingOfCollege': '8', 'rankingOutOfTotalNoOfCollege': '30', 'agency': 'NIRF'}, {'year': '2022', 'agencyId': '17', 'rankingOfCollege': '4', 'rankingOutOfTotalNoOfCollege': '61', 'agency': 'Indiatoday'}, {'year': '2022', 'agencyId': '28', 'rankingOfCollege': '4', 'rankingOutOfTotalNoOfCollege': '13', 'agency': 'Outlook'}, {'year': '2022', 'agencyId': '33', 'rankingOfCollege': '4', 'rankingOutOfTotalNoOfCollege': '38', 'agency': 'The Week'}]",clat,"['Medical', 'Cafeteria', 'Library', 'Hostel', 'Classrooms', 'Transport', 'Auditorium', 'Security', 'Banks', 'Laboratory']",3,Government,Full Time,3
National Law Institute University - [NLIU],Bhopal,Madhya Pradesh,"['BCI', 'UGC']",7.13392385718235,2.47295856870853,https://images.collegedunia.com/public/college_data/images/logos/1489648066Capture.jpg,https://images.collegedunia.com/public/college_data/images/appImage/25686_NLIU.jpg,0,"[{'year': '2022', 'agencyId': '13', 'rankingOfCollege': '15', 'rankingOutOfTotalNoOfCollege': '30', 'agency': 'NIRF'}, {'year': '2022', 'agencyId': '17', 'rankingOfCollege': '3', 'rankingOutOfTotalNoOfCollege': '61', 'agency': 'Indiatoday'}, {'year': '2020', 'agencyId': '33', 'rankingOfCollege': '6', 'rankingOutOfTotalNoOfCollege': '37', 'agency': 'The Week'}]","[{'year': '2022', 'agencyId': '13', 'rankingOfCollege': '15', 'rankingOutOfTotalNoOfCollege': '30', 'agency': 'NIRF'}, {'year': '2022', 'agencyId': '17', 'rankingOfCollege': '3', 'rankingOutOfTotalNoOfCollege': '61', 'agency': 'Indiatoday'}, {'year': '2020', 'agencyId': '33', 'rankingOfCollege': '6', 'rankingOutOfTotalNoOfCollege': '37', 'agency': 'The Week'}]",,"['Sports', 'Medical', 'Cafeteria', 'Hostel', 'Library', 'Comp Labs', 'Auditorium', 'Classrooms']",0,Government,Full Time,3
Kalinga Institute of Industrial Technology - [KIIT],Bhubaneswar,Orissa,"['DCI', 'INC', 'MCI', 'BCI', 'AICTE']",7.12007871247044,2.46707383255415,https://images.collegedunia.com/public/college_data/images/logos/1394450211Kalinga Institute of Industrial Technology.png,https://images.collegedunia.com/public/college_data/images/appImage/14878534504.jpg,419000,"[{'year': '2022', 'agencyId': '13', 'rankingOfCollege': '11', 'rankingOutOfTotalNoOfCollege': '30', 'agency': 'NIRF'}]","[{'year': '2022', 'agencyId': '13', 'rankingOfCollege': '34', 'rankingOutOfTotalNoOfCollege': '200', 'agency': 'NIRF'}, {'year': '2022', 'agencyId': '2', 'rankingOfCollege': '801', 'rankingOutOfTotalNoOfCollege': '1201', 'agency': 'THE'}, {'year': '2019', 'agencyId': '28', 'rankingOfCollege': '54', 'rankingOutOfTotalNoOfCollege': '100', 'agency': 'Outlook'}, {'year': '2019', 'agencyId': '18', 'rankingOfCollege': '30', 'rankingOutOfTotalNoOfCollege': '50', 'agency': 'Financial Express'}, {'year': '2020', 'agencyId': '38', 'rankingOfCollege': '1', 'rankingOutOfTotalNoOfCollege': '50', 'agency': 'ARIIA'}, {'year': '2020', 'agencyId': '8', 'rankingOfCollege': '70', 'rankingOutOfTotalNoOfCollege': '100', 'agency': 'QS'}]",kiitee,"['Comp Labs', 'Sports', 'Medical', 'Cafeteria', 'Laboratory', 'Library', 'Auditorium', 'Hostel', 'Gym', 'Classrooms', 'Wi-FI Campus', 'Transport', 'Banks']",4,Private,Full Time,3
