College Name,College City,State,Approvals,Rating,Major Stream Rating,Logo,Cover,Fees,Ranking Data,Default Ranking Data,Exam,Facilities,Fee Range,Type Of College,Program Type,Duration
All India Institute of Medical Sciences - [AIIMS],New Delhi,Delhi NCR,"['MCI', 'UGC']",7.939772727272726,1.7912750163934428,https://images.collegedunia.com/public/college_data/images/logos/149154157555.jpg,https://images.collegedunia.com/public/college_data/images/appImage/1507714139ccccccccccccccccccccccccccccccc.jpg,1628,"[{'year': '2022', 'agencyId': '13', 'rankingOfCollege': '1', 'rankingOutOfTotalNoOfCollege': '50', 'agency': 'NIRF'}, {'year': '2022', 'agencyId': '17', 'rankingOfCollege': '1', 'rankingOutOfTotalNoOfCollege': '53', 'agency': 'Indiatoday'}, {'year': '2022', 'agencyId': '28', 'rankingOfCollege': '1', 'rankingOutOfTotalNoOfCollege': '13', 'agency': 'Outlook'}, {'year': '2022', 'agencyId': '33', 'rankingOfCollege': '1', 'rankingOutOfTotalNoOfCollege': '36', 'agency': 'The Week'}]","[{'year': '2022', 'agencyId': '13', 'rankingOfCollege': '9', 'rankingOutOfTotalNoOfCollege': '200', 'agency': 'NIRF'}, {'year': '2021', 'agencyId': '1', 'rankingOfCollege': '783', 'rankingOutOfTotalNoOfCollege': '1467', 'agency': 'US News'}, {'year': '2019', 'agencyId': '10', 'rankingOfCollege': '11', 'rankingOutOfTotalNoOfCollege': '1000', 'agency': 'ARWU'}]",neet,"['Sports', 'Medical', 'Cafeteria', 'Laboratory', 'Library', 'Auditorium', 'Hostel', 'Comp Labs', 'Banks', 'Transport', 'Classrooms']",0,Government,Full Time,5
Christian Medical College - [CMC],Vellore,Tamil Nadu,['MCI'],7.917497417355372,1.7780148115022842,https://images.collegedunia.com/public/college_data/images/logos/1458024878logo.jpg,https://images.collegedunia.com/public/college_data/images/appImage/10343_CMC_New.jpg,48330,"[{'year': '2022', 'agencyId': '13', 'rankingOfCollege': '3', 'rankingOutOfTotalNoOfCollege': '50', 'agency': 'NIRF'}, {'year': '2022', 'agencyId': '17', 'rankingOfCollege': '2', 'rankingOutOfTotalNoOfCollege': '53', 'agency': 'Indiatoday'}, {'year': '2022', 'agencyId': '28', 'rankingOfCollege': '1', 'rankingOutOfTotalNoOfCollege': '23', 'agency': 'Outlook'}, {'year': '2022', 'agencyId': '33', 'rankingOfCollege': '2', 'rankingOutOfTotalNoOfCollege': '36', 'agency': 'The Week'}]","[{'year': '2021', 'agencyId': '1', 'rankingOfCollege': '895', 'rankingOutOfTotalNoOfCollege': '1467', 'agency': 'US News'}]",neet,"['Medical', 'Sports', 'Comp Labs', 'Laboratory', 'Library', 'Auditorium', 'Cafeteria', 'Classrooms', 'Hostel']",1,Private,Full Time,5
Santosh University,Ghaziabad,Uttar Pradesh,"['DCI', 'MCI', 'UGC']",7.899514433461683,1.7653066390621237,https://images.collegedunia.com/public/college_data/images/logos/1560597270Screenshotfrom20190615164340.png,https://images.collegedunia.com/public/college_data/images/appImage/1624616751WhatsAppImage20210625at2.26.50PM.jpeg,2400000,[],[],neet,"['Sports', 'Medical', 'Laboratory', 'Library', 'Auditorium', 'Hostel', 'Gym', 'Cafeteria', 'Comp Labs', 'Security', 'Classrooms']",4,Government,Full Time,5
Banaras Hindu University - [BHU],Varanasi,Uttar Pradesh,"['UGC', 'AIU']",7.899514433461683,1.7600267319130454,https://images.collegedunia.com/public/college_data/images/logos/1434627772BHU.jpg,https://images.collegedunia.com/public/college_data/images/appImage/25924_BHU_APP.jpg,10369,"[{'year': '2022', 'agencyId': '13', 'rankingOfCollege': '5', 'rankingOutOfTotalNoOfCollege': '50', 'agency': 'NIRF'}, {'year': '2019', 'agencyId': '17', 'rankingOfCollege': '7', 'rankingOutOfTotalNoOfCollege': '50', 'agency': 'Indiatoday'}]","[{'year': '2022', 'agencyId': '13', 'rankingOfCollege': '11', 'rankingOutOfTotalNoOfCollege': '200', 'agency': 'NIRF'}, {'year': '2022', 'agencyId': '2', 'rankingOfCollege': '601', 'rankingOutOfTotalNoOfCollege': '1201', 'agency': 'THE'}, {'year': '2019', 'agencyId': '28', 'rankingOfCollege': '16', 'rankingOutOfTotalNoOfCollege': '100', 'agency': 'Outlook'}, {'year': '2019', 'agencyId': '18', 'rankingOfCollege': '39', 'rankingOutOfTotalNoOfCollege': '50', 'agency': 'Financial Express'}, {'year': '2019', 'agencyId': '10', 'rankingOfCollege': '11', 'rankingOutOfTotalNoOfCollege': '1000', 'agency': 'ARWU'}, {'year': '2021', 'agencyId': '33', 'rankingOfCollege': '2', 'rankingOutOfTotalNoOfCollege': '79', 'agency': 'The Week'}, {'year': '2021', 'agencyId': '1', 'rankingOfCollege': '856', 'rankingOutOfTotalNoOfCollege': '1467', 'agency': 'US News'}, {'year': '2023', 'agencyId': '8', 'rankingOfCollege': '1001', 'rankingOutOfTotalNoOfCollege': '1400', 'agency': 'QS'}]",neet,"['Comp Labs', 'Sports', 'Gym', 'Medical', 'Cafeteria', 'Laboratory', 'Library', 'Auditorium', 'Hostel', 'Classrooms', 'Security']",0,Government,Full Time,5
IQ City Medical College,Durgapur,West Bengal,['MCI'],7.882655045073612,1.7474857921292966,https://images.collegedunia.com/public/college_data/images/logos/1588226394IQCityMedicalCollegelogo.jpg,https://images.collegedunia.com/public/college_data/images/appImage/1588226394cover.jpg,613000,[],[],neet,"['Classrooms', 'Auditorium', 'Cafeteria', 'Laboratory', 'Sports', 'Wi-FI Campus']",4,Government,Full Time,5
Kasturba Medical College - [KMC],Manipal,Karnataka,['MCI'],7.882655045073612,1.750350522936066,https://images.collegedunia.com/public/college_data/images/logos/161486278072x80logo1.png,https://images.collegedunia.com/public/college_data/images/appImage/10632_Untitled.jpg,1780000,"[{'year': '2022', 'agencyId': '13', 'rankingOfCollege': '10', 'rankingOutOfTotalNoOfCollege': '50', 'agency': 'NIRF'}, {'year': '2022', 'agencyId': '17', 'rankingOfCollege': '13', 'rankingOutOfTotalNoOfCollege': '53', 'agency': 'Indiatoday'}, {'year': '2022', 'agencyId': '28', 'rankingOfCollege': '2', 'rankingOutOfTotalNoOfCollege': '23', 'agency': 'Outlook'}, {'year': '2022', 'agencyId': '33', 'rankingOfCollege': '9', 'rankingOutOfTotalNoOfCollege': '36', 'agency': 'The Week'}]","[{'year': '2022', 'agencyId': '13', 'rankingOfCollege': '10', 'rankingOutOfTotalNoOfCollege': '50', 'agency': 'NIRF'}, {'year': '2022', 'agencyId': '17', 'rankingOfCollege': '13', 'rankingOutOfTotalNoOfCollege': '53', 'agency': 'Indiatoday'}, {'year': '2022', 'agencyId': '28', 'rankingOfCollege': '2', 'rankingOutOfTotalNoOfCollege': '23', 'agency': 'Outlook'}, {'year': '2022', 'agencyId': '33', 'rankingOfCollege': '9', 'rankingOutOfTotalNoOfCollege': '36', 'agency': 'The Week'}]",neet,"['Comp Labs', 'Sports', 'Medical', 'Cafeteria', 'Library', 'Auditorium', 'Hostel', 'Laboratory', 'Gym', 'Transport', 'Classrooms', 'Communication Centre']",4,Private,Full Time,5
Jawaharlal Institute of Post Graduate Medical Education and Research - [JIPMER],Pondicherry,Puducherry,"['DCI', 'MCI', 'UGC']",7.865795656685541,1.737875687727764,https://images.collegedunia.com/public/college_data/images/logos/1568873405jipmerlogo.png,https://images.collegedunia.com/public/college_data/images/appImage/1503478867cvr.png,4970,"[{'year': '2022', 'agencyId': '13', 'rankingOfCollege': '6', 'rankingOutOfTotalNoOfCollege': '50', 'agency': 'NIRF'}, {'year': '2022', 'agencyId': '17', 'rankingOfCollege': '4', 'rankingOutOfTotalNoOfCollege': '53', 'agency': 'Indiatoday'}, {'year': '2021', 'agencyId': '28', 'rankingOfCollege': '3', 'rankingOutOfTotalNoOfCollege': '13', 'agency': 'Outlook'}, {'year': '2020', 'agencyId': '33', 'rankingOfCollege': '4', 'rankingOutOfTotalNoOfCollege': '35', 'agency': 'The Week'}]","[{'year': '2022', 'agencyId': '13', 'rankingOfCollege': '54', 'rankingOutOfTotalNoOfCollege': '200', 'agency': 'NIRF'}]",jipmer,"['Medical', 'Sports', 'Comp Labs', 'Laboratory', 'Library', 'Auditorium', 'Cafeteria', 'Classrooms']",0,Government,Full Time,5
King George's Medical University - [KGMU],Lucknow,Uttar Pradesh,"['DCI', 'MCI', 'UGC']",7.849860052870937,1.7254295822978098,https://images.collegedunia.com/public/college_data/images/logos/1498220102logo.png,https://images.collegedunia.com/public/college_data/images/appImage/1498220102cvr.png,54900,"[{'year': '2022', 'agencyId': '13', 'rankingOfCollege': '11', 'rankingOutOfTotalNoOfCollege': '50', 'agency': 'NIRF'}, {'year': '2022', 'agencyId': '17', 'rankingOfCollege': '7', 'rankingOutOfTotalNoOfCollege': '53', 'agency': 'Indiatoday'}, {'year': '2022', 'agencyId': '28', 'rankingOfCollege': '4', 'rankingOutOfTotalNoOfCollege': '13', 'agency': 'Outlook'}, {'year': '2022', 'agencyId': '33', 'rankingOfCollege': '7', 'rankingOutOfTotalNoOfCollege': '36', 'agency': 'The Week'}]","[{'year': '2022', 'agencyId': '13', 'rankingOfCollege': '75', 'rankingOutOfTotalNoOfCollege': '200', 'agency': 'NIRF'}, {'year': '2022', 'agencyId': '2', 'rankingOfCollege': '1001', 'rankingOutOfTotalNoOfCollege': '1201', 'agency': 'THE'}, {'year': '2019', 'agencyId': '28', 'rankingOfCollege': '43', 'rankingOutOfTotalNoOfCollege': '100', 'agency': 'Outlook'}]",neet,"['Medical', 'Sports', 'Comp Labs', 'Laboratory', 'Library', 'Auditorium', 'Cafeteria', 'Classrooms', 'Hostel']",1,Government,Full Time,5
Sri Ramachandra Institute of Higher Education and Research,Chennai,Tamil Nadu,['UGC'],7.833747386791724,1.7130286471868226,https://images.collegedunia.com/public/college_data/images/logos/1602063923Logo.png,https://images.collegedunia.com/public/college_data/images/appImage/25900_SRMC_New.jpg,2200000,"[{'year': '2022', 'agencyId': '13', 'rankingOfCollege': '15', 'rankingOutOfTotalNoOfCollege': '50', 'agency': 'NIRF'}, {'year': '2022', 'agencyId': '17', 'rankingOfCollege': '26', 'rankingOutOfTotalNoOfCollege': '53', 'agency': 'Indiatoday'}, {'year': '2021', 'agencyId': '28', 'rankingOfCollege': '4', 'rankingOutOfTotalNoOfCollege': '23', 'agency': 'Outlook'}]","[{'year': '2022', 'agencyId': '13', 'rankingOfCollege': '83', 'rankingOutOfTotalNoOfCollege': '200', 'agency': 'NIRF'}, {'year': '2019', 'agencyId': '28', 'rankingOfCollege': '41', 'rankingOutOfTotalNoOfCollege': '100', 'agency': 'Outlook'}]",neet,"['Comp Labs', 'Sports', 'Gym', 'Medical', 'Cafeteria', 'Library', 'Auditorium', 'Hostel', 'Laboratory', 'canteen', 'Transport', 'Communication Centre', 'Wi-FI Campus', 'Security', 'Classrooms']",4,Private,Full Time,5
St John's Medical College,Bangalore,Karnataka,['MCI'],7.819677913311631,1.70091885808385,https://images.collegedunia.com/public/college_data/images/logos/1457509939StjohnMedical.jpeg,https://images.collegedunia.com/public/college_data/images/appImage/11077_SJMCB_APP.jpg,628170,"[{'year': '2022', 'agencyId': '13', 'rankingOfCollege': '14', 'rankingOutOfTotalNoOfCollege': '50', 'agency': 'NIRF'}, {'year': '2022', 'agencyId': '17', 'rankingOfCollege': '18', 'rankingOutOfTotalNoOfCollege': '53', 'agency': 'Indiatoday'}, {'year': '2022', 'agencyId': '28', 'rankingOfCollege': '5', 'rankingOutOfTotalNoOfCollege': '23', 'agency': 'Outlook'}, {'year': '2022', 'agencyId': '33', 'rankingOfCollege': '13', 'rankingOutOfTotalNoOfCollege': '36', 'agency': 'The Week'}]","[{'year': '2022', 'agencyId': '13', 'rankingOfCollege': '14', 'rankingOutOfTotalNoOfCollege': '50', 'agency': 'NIRF'}, {'year': '2022', 'agencyId': '17', 'rankingOfCollege': '18', 'rankingOutOfTotalNoOfCollege': '53', 'agency': 'Indiatoday'}, {'year': '2022', 'agencyId': '28', 'rankingOfCollege': '5', 'rankingOutOfTotalNoOfCollege': '23', 'agency': 'Outlook'}, {'year': '2022', 'agencyId': '33', 'rankingOfCollege': '13', 'rankingOutOfTotalNoOfCollege': '36', 'agency': 'The Week'}]",neet,"['Medical', 'Hostel', 'Gym', 'Sports', 'Library', 'Laboratory', 'Cafeteria', 'Comp Labs', 'Auditorium', 'Transport', 'Communication Centre', 'e-classroom', 'Wi-FI Campus']",4,Private,Full Time,5
